Level0,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15,Level16,Level17,Level18,Level19,Level20,Level21,Level22,Level23,Level24,Level25,Level26,Level27,Level28,Level29,Level30
"Transmission Network Construction","1 Project Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","1 Project Management","1.1 Project initiation",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","1 Project Management","1.1 Project initiation","1.1.1 Project charter & scope confirmation",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","1 Project Management","1.1 Project initiation","1.1.2 Stakeholder register",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","1 Project Management","1.1 Project initiation","1.1.3 Kick-off workshop",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","1 Project Management","1.2 Project planning",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","1 Project Management","1.2 Project planning","1.2.1 Master schedule",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","1 Project Management","1.2 Project planning","1.2.2 Project execution plan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","1 Project Management","1.2 Project planning","1.2.3 Procurement plan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","1 Project Management","1.2 Project planning","1.2.4 HSE plan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","1 Project Management","1.2 Project planning","1.2.5 Quality management plan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","1 Project Management","1.3 Project controls",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","1 Project Management","1.3 Project controls","1.3.1 Cost control & budgeting",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","1 Project Management","1.3 Project controls","1.3.2 Progress reporting",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","1 Project Management","1.3 Project controls","1.3.3 Change control",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","1 Project Management","1.3 Project controls","1.3.4 Risk & issues management",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","1 Project Management","1.4 Project closeout",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","1 Project Management","1.4 Project closeout","1.4.1 Final reporting",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","1 Project Management","1.4 Project closeout","1.4.2 Lessons learned",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","1 Project Management","1.4 Project closeout","1.4.3 Contract close-out",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","2 Surveys, Permitting & Land Rights",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","2 Surveys, Permitting & Land Rights","2.1 Route reconnaissance",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","2 Surveys, Permitting & Land Rights","2.2 Topographic & geotechnical surveys",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","2 Surveys, Permitting & Land Rights","2.2 Topographic & geotechnical surveys","2.2.1 Soil investigations for foundations",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","2 Surveys, Permitting & Land Rights","2.2 Topographic & geotechnical surveys","2.2.2 Hydrology & flood risk assessment",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","2 Surveys, Permitting & Land Rights","2.3 Environmental & social baseline studies",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","2 Surveys, Permitting & Land Rights","2.4 Permitting & approvals",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","2 Surveys, Permitting & Land Rights","2.4 Permitting & approvals","2.4.1 Environmental permits",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","2 Surveys, Permitting & Land Rights","2.4 Permitting & approvals","2.4.2 Construction permits",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","2 Surveys, Permitting & Land Rights","2.4 Permitting & approvals","2.4.3 Wayleave / easement agreements",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","2 Surveys, Permitting & Land Rights","2.5 Land acquisition & compensation",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","3 Route Finalisation & Design",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","3 Route Finalisation & Design","3.1 Route optimization & corridor selection",,,,,,,,,,,,,,,,,,,,,,,,,,,,
